wday,age,school,industry,employment,start,end,n,count
1,20,-1,-1,0,12.5,15.5,0.047478854486472113,1
1,20,-1,-1,0,12.5,17.5,0.023125126787461814,1
1,20,-1,-1,0,13,15,0.04722779046790921,1
1,20,-1,-1,0,13,17,0.16631103818339482,1
1,20,-1,-1,0,13,17.5,0.11743893485757266,1
1,20,-1,-1,0,13.5,15.5,0.06273575499707106,1
1,20,-1,-1,0,14,4,0.03074642493868502,1
1,20,-1,-1,0,14,8,0.01752019679299289,1
1,20,-1,-1,0,14,15,0.23465844855989995,3
1,20,-1,-1,0,14,16,0.1427936288817898,3
1,20,-1,-1,0,15,16,0.036995503843675843,1
1,20,-1,-1,0,15,17,0.05942805457226051,2
1,20,-1,-1,0,15,18,0.03772773195534092,1
1,20,-1,-1,0,15,19,0.03692056905002417,1
1,20,-1,-1,0,15.5,11,0.0267616051694671,1
1,20,-1,-1,0,15.5,16.5,0.03571825695345871,1
1,20,-1,-1,0,16,16.5,0.02999135823664485,1
1,20,-1,-1,0,16,17.5,0.0960638232637394,2
1,20,-1,-1,0,16,19.5,0.014430123114857852,1
1,20,-1,-1,0,16,21,0.058195551186789735,1
1,20,-1,-1,0,16.5,17.5,0.03420063955266011,1
1,20,-1,-1,0,16.5,19,0.10921399328683776,2
1,20,-1,-1,0,16.5,19.5,0.04361590131878621,1
1,20,-1,-1,0,17,18,0.21462887350275192,3
1,20,-1,-1,0,17,20,0.10777996906575765,2
1,20,-1,-1,0,17.5,19.5,0.0430909346912853,1
1,20,-1,-1,0,17.5,20,0.03118363331616907,1
1,20,-1,-1,0,17.5,20.5,0.024581486289196194,1
1,20,-1,-1,0,17.5,21,0.021359844532301775,1
1,20,-1,-1,0,17.5,22,0.03194244931091215,1
1,20,-1,-1,0,18,6,0.03567894044048465,1
1,20,-1,-1,0,18,9.5,0.053422263915363144,1
1,20,-1,-1,0,18,19,0.013216577728871227,1
1,20,-1,-1,0,18,20,0.03169145823578704,1
1,20,-1,-1,0,18.5,22.5,0.014762241881503824,1
1,20,-1,-1,0,19,19.5,0.023003464427555635,1
1,20,-1,-1,0,19.5,6.5,0.01805516396581614,1
1,20,-1,-1,0,19.5,8,0.07023896501684028,1
1,20,-1,-1,0,19.5,21.5,0.01811587478909686,1
1,20,-1,-1,0,19.5,23,0.039286511338089906,1
1,20,-1,-1,0,20,0.5,0.01756100135209806,1
1,20,-1,-1,0,20,1,0.02568439106872818,1
1,20,-1,-1,0,20,5,0.019979915164693957,1
1,20,-1,-1,0,20,6,0.1453076536429328,2
1,20,-1,-1,0,20,7,0.019197334197915725,1
1,20,-1,-1,0,20,9,0.07858963919131058,2
1,20,-1,-1,0,20,12,0.029123739810079683,1
1,20,-1,-1,0,20.5,2,0.013046874820830145,1
1,20,-1,-1,0,20.5,4,0.015506491071718295,1
1,20,-1,-1,0,20.5,5,0.02794045865643617,1
1,20,-1,-1,0,20.5,6,0.047350758515352,2
1,20,-1,-1,0,20.5,6.5,0.03819729074748915,1
1,20,-1,-1,0,20.5,8,0.01517231530012637,1
1,20,-1,-1,0,20.5,10,0.021243054794040622,1
1,20,-1,-1,0,20.5,11,0.11816836923557,1
1,20,-1,-1,0,20.5,20.5,0.02794045865643617,1
1,20,-1,-1,0,20.5,23,0.02299978078394675,1
1,20,-1,-1,0,21,1,0.036798447146459856,1
1,20,-1,-1,0,21,5.5,0.03835699311020788,1
1,20,-1,-1,0,21,6,0.22650201546594653,7
1,20,-1,-1,0,21,6.5,0.1111705332359087,3
1,20,-1,-1,0,21,7,0.16451130474256198,3
1,20,-1,-1,0,21,7.5,0.18376781065722084,5
1,20,-1,-1,0,21,8,0.0775235927308988,2
1,20,-1,-1,0,21,8.5,0.21339288342095433,3
1,20,-1,-1,0,21,9,0.04125804116362869,1
